Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: selected geographies: Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sex (SEX),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,,,,,,Female,,,,,,,,,,,,,
,,Age recode (AGEP_RC1),,,,,,,,,,,,,,Age recode (AGEP_RC1),,,,,,,,,,,,,
Occupation recode for 2018 and later based on 2018 OCC codes,Total,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30
EDU-Elementary And Middle School Teachers,9145,2034,0,0,74,142,0,493,409,114,96,273,151,282,0,7111,0,0,106,0,155,1571,755,695,941,958,358,1007,565
EDU-Secondary School Teachers,2602,1060,0,0,0,0,0,0,447,0,67,0,0,412,134,1542,0,0,0,0,69,0,67,289,176,168,225,430,118
EDU-Special Education Teachers,1611,168,0,0,0,0,0,0,108,0,0,0,60,0,0,1443,0,0,0,0,75,424,562,0,0,211,0,57,114
EDU-Tutors,2281,217,0,53,0,0,0,0,164,0,0,0,0,0,0,2064,118,285,287,473,109,161,152,401,78,0,0,0,0
EDU-Other Teachers and Instructors,3613,1727,188,45,172,394,0,92,332,0,166,85,0,0,253,1886,187,0,759,411,0,132,128,0,73,63,133,0,0
"EDU-Archivists, Curators, And Museum Technicians",245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,116,0,0,0,0,129,0,0,0,0
EDU-Librarians And Media Collections Specialists,2076,129,0,0,0,0,0,0,0,56,73,0,0,0,0,1947,563,943,0,0,0,0,0,0,145,132,164,0,0
EDU-Library Technicians,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,153,0,81,0,66,0,0
EDU-Teaching Assistants,13422,4313,208,556,803,912,510,263,37,427,152,261,26,158,0,9109,520,693,1187,1087,815,949,915,687,516,277,936,220,307
EDU-Other Educational Instruction and Library Workers,544,265,0,0,72,76,0,117,0,0,0,0,0,0,0,279,0,0,0,165,0,0,114,0,0,0,0,0,0
ENT-Artists And Related Workers,1369,473,0,0,0,0,0,52,0,0,421,0,0,0,0,896,0,0,236,0,226,0,0,72,0,266,96,0,0
ENT-Commercial And Industrial Designers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENT-Fashion Designers,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,331,0,0
