Gender,Age,Occupation,Population
Female,28.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Female,29.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Female,30.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Male,18.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Male,19.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Male,20.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Male,21.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Male,22.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Male,23.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Male,24.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Male,25.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Male,26.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Male,27.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Male,28.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Male,29.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Male,30.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",54.0
Female,18.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Female,19.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Female,20.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Female,21.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",210.0
Female,22.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",83.0
Female,23.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Female,24.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Female,25.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Female,26.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",155.0
Female,27.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Female,28.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Female,29.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",146.0
Female,30.0,"MGR-Farmers, Ranchers, And Other Agricultural Managers",0.0
Male,18.0,MGR-Construction Managers,0.0
Male,19.0,MGR-Construction Managers,0.0
Male,20.0,MGR-Construction Managers,0.0
Male,21.0,MGR-Construction Managers,0.0
Male,22.0,MGR-Construction Managers,0.0
Male,23.0,MGR-Construction Managers,0.0
Male,24.0,MGR-Construction Managers,0.0
Male,25.0,MGR-Construction Managers,0.0
Male,26.0,MGR-Construction Managers,914.0
Male,27.0,MGR-Construction Managers,53.0
Male,28.0,MGR-Construction Managers,0.0
Male,29.0,MGR-Construction Managers,0.0
Male,30.0,MGR-Construction Managers,396.0
Female,18.0,MGR-Construction Managers,0.0
Female,19.0,MGR-Construction Managers,0.0
Female,20.0,MGR-Construction Managers,0.0
Female,21.0,MGR-Construction Managers,0.0
Female,22.0,MGR-Construction Managers,0.0
Female,23.0,MGR-Construction Managers,0.0
Female,24.0,MGR-Construction Managers,0.0
Female,25.0,MGR-Construction Managers,0.0
Female,26.0,MGR-Construction Managers,0.0
